threads,size,time(usecs)
1,2500,16
1,2500,9
1,2500,8
1,2500,8
1,2500,8
1,2500,9
1,2500,8
1,2500,8
1,2500,8
1,2500,9
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,2500,8
1,10000,32
1,10000,22
1,10000,23
1,10000,22
1,10000,23
1,10000,23
1,10000,23
1,10000,23
1,10000,24
1,10000,22
1,10000,22
1,10000,22
1,10000,23
1,10000,23
1,10000,23
1,10000,22
1,10000,23
1,10000,22
1,10000,22
1,10000,22
1,1000000,1913
1,1000000,1889
1,1000000,1890
1,1000000,1884
1,1000000,1893
1,1000000,1892
1,1000000,1891
1,1000000,1903
1,1000000,1891
1,1000000,1891
1,1000000,1889
1,1000000,1897
1,1000000,1888
1,1000000,1892
1,1000000,1885
1,1000000,1900
1,1000000,1890
1,1000000,1891
1,1000000,1892
1,1000000,1899
1,100000000,191974
1,100000000,191876
1,100000000,191754
1,100000000,191825
1,100000000,191753
1,100000000,191744
1,100000000,191753
1,100000000,191868
1,100000000,191764
1,100000000,191802
1,100000000,191738
1,100000000,191764
1,100000000,191739
1,100000000,191814
1,100000000,191768
1,100000000,191800
1,100000000,191730
1,100000000,191838
1,100000000,191759
1,100000000,191851
1,1410065408,2709685
1,1410065408,2706195
1,1410065408,2706828
1,1410065408,2706086
1,1410065408,2706317
1,1410065408,2706767
1,1410065408,2705886
1,1410065408,2706284
1,1410065408,2707188
1,1410065408,2706209
1,1410065408,2706438
1,1410065408,2706658
1,1410065408,2706026
1,1410065408,2706385
1,1410065408,2706793
1,1410065408,2706410
1,1410065408,2706405
1,1410065408,2707078
1,1410065408,2705878
1,1410065408,2706315
